timestamp,user_id,activity_id,stress,energy,time,reward
1773392985.7494504,2,1,28,1,5,0.20197478227253002
1773392985.9333432,2,4,52,0,15,0.5856659573586773
1773392986.1106226,4,4,26,0,5,0.5021315387403187
1773392986.2771404,4,4,64,0,15,0.5032376355432615
1773392986.434556,3,4,57,2,30,0.4383048683241991
1773392986.6137934,3,3,65,0,5,0.2759680461388582
1773392986.7803788,2,2,41,2,15,0.3801374082035659
1773392986.9842193,3,2,44,0,30,0.6878699895586551
1773392987.1608455,3,2,61,0,10,0.7081181181575341
1773392987.3298926,5,3,42,2,10,0.5723105348953013
1773392987.5187771,1,3,51,1,15,0.5151423970736708
1773392987.682168,1,2,41,0,30,0.6759397652503294
1773392987.8723536,4,4,20,1,5,0.594633467703396
1773392988.0739589,5,4,22,1,15,0.5100060830569899
1773392988.2505438,1,3,37,2,15,0.6756378406992112
1773392988.4311795,5,2,58,1,15,0.2388666564059228
1773392988.5947733,3,4,60,0,10,0.5414241113592475
1773392988.7603,1,2,20,0,10,0.6192767124721285
1773392988.9396155,2,3,75,1,30,0.6752103836489538
1773392989.122563,5,4,68,1,10,0.5572499434871474
1773392989.2991128,3,4,70,0,10,0.5365364715828552
1773392989.491473,1,3,68,2,10,0.6827567718834768
1773392989.6553507,4,4,42,1,10,0.5147380877142533
1773392989.8356514,4,4,44,2,5,0.47562098413738246
1773392990.0248866,3,3,30,1,15,0.572039270066065
1773392990.2474287,2,3,30,2,10,0.6383778311493202
1773392990.4219403,1,4,36,0,5,0.45749212043007303
1773392990.6289184,4,2,58,1,5,0.2373610141626802
1773392990.797045,1,3,23,1,10,0.5307696286857471
1773392991.002947,5,1,66,1,15,0.7607509408187229
1773392991.189821,1,1,57,0,15,0.39613477045638945
1773392991.4014766,3,4,49,0,10,0.40718231686155265
1773392991.6029081,5,3,74,1,10,0.502957121395462
1773392991.784614,4,1,26,1,5,0.39892922752613125
1773392991.9486325,2,2,24,0,10,0.6631311022564711
1773392992.1327925,5,2,32,0,10,0.7030662257499795
1773392992.318537,4,2,50,0,30,0.7186886066371516
1773392992.4984517,4,1,59,1,30,0.2894276402802009
1773392992.6716301,1,2,42,1,30,0.36957846014035683
1773392992.8326254,5,4,66,1,5,0.5319383804227567
1773392993.0100572,2,3,64,1,30,0.6724004446672263
1773392993.1716864,3,4,64,1,15,0.4461781032516011
1773392993.3760831,5,1,49,0,5,0.20494256719217271
1773392993.6096008,2,2,63,0,10,0.7213125351138843
1773392993.7866578,3,3,53,2,15,0.562586484605587
1773392993.953067,2,3,27,1,15,0.6503156574169328
1773392994.141477,2,2,63,0,10,0.7208494367712056
1773392994.343378,1,2,77,0,30,0.7177131004719087
1773392994.5276933,5,2,28,0,5,0.7955125747924245
1773392994.7153685,2,1,40,2,5,0.2651821884116556
1773392994.880957,3,4,77,1,15,0.462602276516545
1773392995.0940285,2,4,43,2,10,0.5763953333369636
1773392995.280277,5,2,51,0,15,0.6191211155610756
1773392995.4782825,1,3,58,0,30,0.3045594356083233
1773392995.710002,2,4,64,1,30,0.5361828799350928
1773392995.9201546,2,3,53,1,15,0.6553672202639644
1773392996.1124926,1,2,78,0,5,0.6028507628841765
1773392996.2852292,3,3,22,2,5,0.6250862238653245
1773392996.5216324,1,4,40,0,10,0.4085669821384046
1773392996.7548447,4,2,60,0,5,0.693194433412202
